comparison,n_A,n_B,n_intersection,n_union,jaccard,overlap_coefficient,pct_of_A_shared,pct_of_B_shared
heat_up vs salt_up,25,146,14,157,0.08917197452229299,0.56,56.00000000000001,9.58904109589041
heat_down vs salt_down,7,114,1,120,0.008333333333333333,0.14285714285714285,14.285714285714285,0.8771929824561403
