gene_id,baseMean_salt,log2FoldChange_salt,lfcSE_salt,stat_salt,pvalue_salt,padj_salt,regulation_salt,baseMean_heat,log2FoldChange_heat,lfcSE_heat,stat_heat,pvalue_heat,padj_heat,regulation_heat
AT5G62520,7075.8782628423,8.67909652725098,0.248092032136044,34.983374728019,4.027200655787969e-268,9.099862601818491e-264,up,199.094415263779,-1.75497766594669,0.271139676114811,-6.47259630568993,9.633308103641159e-11,1.27753720967788e-09,down
AT5G05410,12211.7232484074,7.41401242143563,0.223229554033462,33.2125038440218,7.10475597597994e-242,8.02695330166214e-238,up,,,,,,,
AT5G19110,7087.49339674178,6.51518324821976,0.207998562428144,31.3232128730242,2.25420016041743e-215,1.69786356082641e-211,up,,,,,,,
AT2G24850,9462.52357428367,10.9055470483593,0.352342073735842,30.9515889849005,2.41858428427015e-210,1.36625826218421e-206,up,,,,,,,
AT3G22910,4265.19089075448,9.13605813305779,0.301998303493852,30.2520180655379,4.907973945883181e-201,2.1193059039559705e-197,up,141.803439625168,-1.71990391510291,0.333985778295897,-5.14963219056338,2.60997771802145e-07,2.07664328284003e-06,down
AT4G36010,4185.73500731821,6.6204951353609,0.218877427498099,30.2475006721211,5.6274718639298304e-201,2.1193059039559705e-197,up,1542.77841401606,-1.88804734893378,0.162868460450232,-11.59246758835,4.49979080988143e-31,3.1968603101988e-29,down
AT1G80840,5022.21160407651,7.04189118536513,0.238843329471222,29.4833069064782,4.71286967850316e-191,1.52131433222082e-187,up,131.959839350449,-1.37548977329151,0.300648715781303,-4.5750728378034,4.76054334412981e-06,3.01749681804893e-05,down
AT5G09530,6332.89409438308,-9.05500099513679,0.314259578449354,-28.8137629402316,1.44220638939405e-182,4.07351194684349e-179,down,,,,,,,
AT1G16030,3368.53367487334,6.4761564571028,0.231342026203586,27.9938607065006,1.92990111328235e-172,4.84533839508089e-169,up,491.336473027772,-2.30127028948806,0.209441753548549,-10.9876385701413,4.38242197620656e-28,2.63508299733065e-26,down
AT1G15520,2941.71348336909,7.26096979703753,0.262445735909004,27.6665565622109,1.76438418300168e-168,3.9868024999106e-165,up,,,,,,,
AT4G29780,4389.68302710375,5.96337807781413,0.217188209122896,27.4571907098315,5.701464579245202e-166,1.17118448756931e-162,up,,,,,,,
AT5G64750,5544.92076838982,10.5776589279377,0.3904083312057,27.0938350502681,1.16392264657137e-161,2.19166634349389e-158,up,,,,,,,
AT2G30130,4815.46855001723,6.41539133777961,0.238686723715993,26.8778725431462,3.98500818490001e-159,6.9265573035385e-156,up,34.3305838387027,1.50636931433144,0.545551856409492,2.7611844715285,0.0057592136286011,0.0169224752004356,up
AT1G47510,2984.70067772247,7.75699022351671,0.289156226951648,26.8262949246942,1.5949403173493899e-158,2.57423367220192e-155,up,92.4830851033521,-2.61406760231236,0.380346205569163,-6.87286362802169,6.29257167146072e-12,9.772932880249759e-11,down
AT4G21990,30011.1588360516,5.3786989582107,0.20274734544376,26.5290721633774,4.479028092877721e-155,6.747207919111e-152,up,,,,,,,
AT5G13220,1883.33838646478,7.45333472186892,0.282260326219769,26.4058885699215,1.17261488331875e-153,1.65602536896691e-150,up,,,,,,,
AT5G20230,4138.60038962165,9.4628308710283,0.360256447930343,26.2669299200384,4.5794741513439306e-152,6.08692928963338e-149,up,654.781367941965,-2.47257990198742,0.199750291912491,-12.3783543859382,3.4228916901431704e-35,3.08331500133613e-33,down
AT1G32450,5572.47816393848,-5.70511430411706,0.217794294302812,-26.1949667799144,3.0325262706378302e-151,3.80683131174069e-148,down,,,,,,,
AT1G76650,2288.42031885934,7.57775753196029,0.292980736441683,25.8643541687889,1.67775065104326e-147,1.99528703741966e-144,up,153.651239658727,-1.17484908552866,0.309738206825219,-3.79303895883793,0.0001488147977564,0.0006717772385105,down
AT2G29450,14877.1976496662,6.19991165736305,0.240366250238378,25.7936031003288,1.04605694429928e-146,1.18183513566932e-143,up,,,,,,,
AT2G38240,3726.10468465248,8.69288736428393,0.3379590278969,25.7217196367834,6.68161769677116e-146,7.18942064172577e-143,up,,,,,,,
AT5G35735,5669.80441257058,5.97555249857403,0.233829143414947,25.5552084368285,4.80547719849e-144,4.93566194441273e-141,up,,,,,,,
AT1G66500,1878.60105662036,6.01928025077876,0.237382775433179,25.356853460807,7.55103626891207e-142,7.41840067531901e-139,up,223.50965160446,-2.05595228762212,0.28348735214815,-7.25235983913556,4.09571998591357e-13,7.33450350965812e-12,down
AT3G44870,2658.66804722739,9.25869192388039,0.365977223828533,25.2985467975959,3.31404124983615e-141,3.1201698367207397e-138,up,,,,,,,
AT2G18193,5628.09596009084,5.53426208313356,0.221431739987233,24.9930840242354,7.269105784084519e-138,6.57010857188695e-135,up,405.179155336218,-1.2320774431459,0.216643927883615,-5.68710812798684,1.29208652491941e-08,1.25737453878317e-07,down
AT5G12030,2030.45251509015,8.48804678791677,0.339767572823776,24.9819213686975,9.61193425944152e-138,8.3535102510131e-135,up,2104.10592637371,-12.0705287427297,1.03405156396654,-11.6730433600701,1.7504708167809302e-31,1.27394783132249e-29,down
AT2G25460,3541.49515182873,5.34926085170002,0.214449945376909,24.944099856488,2.47457700523118e-137,2.07094600037791e-134,up,85.3504439660855,-1.45917695088112,0.364566371586174,-4.00250013332953,6.26766325283606e-05,0.000307155388028,down
AT3G22830,1836.47688305014,8.19711345916923,0.333049342479441,24.6123093897873,9.32625568832658e-134,7.52628834047955e-131,up,83.9369657472956,1.35722963817872,0.373802076532266,3.63087773821279,0.0002824589743511,0.0011933766684487,up
AT1G09070,14394.4203350183,4.87287180357601,0.198622371026166,24.5333482749235,6.51266849152632e-133,5.07449162877685e-130,up,3624.4580058574,-1.12295469379173,0.16164527362687,-6.94703079524534,3.7305429279363495e-12,5.960628529636459e-11,down
AT4G38080,3041.98216638069,-7.38797635774976,0.303009823439942,-24.38196977866,2.65677145014772e-131,2.00108025625126e-128,down,,,,,,,
