GO biological process complete,FDR
cellular process (GO:0009987),2.19e-07
metabolic process (GO:0008152),0.0358
ATP biosynthetic process (GO:0006754),0.0372
response to stimulus (GO:0050896),0.0405
purine nucleoside triphosphate biosynthetic process (GO:0009145),0.0412
cellular response to stimulus (GO:0051716),0.0444
purine ribonucleoside triphosphate biosynthetic process (GO:0009206),0.047
