gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
AT5G62520,7075.8782628423,8.67909652725098,0.248092032136044,34.983374728019,4.0272006557879697e-268,9.099862601818491e-264,up
AT5G05410,12211.7232484074,7.41401242143563,0.223229554033462,33.2125038440218,7.10475597597994e-242,8.02695330166214e-238,up
AT5G19110,7087.49339674178,6.51518324821976,0.207998562428144,31.3232128730242,2.25420016041743e-215,1.6978635608264101e-211,up
AT2G24850,9462.52357428367,10.9055470483593,0.352342073735842,30.9515889849005,2.41858428427015e-210,1.36625826218421e-206,up
AT3G22910,4265.19089075448,9.13605813305779,0.301998303493852,30.2520180655379,4.907973945883181e-201,2.1193059039559702e-197,up
AT4G36010,4185.73500731821,6.6204951353609,0.218877427498099,30.2475006721211,5.6274718639298304e-201,2.1193059039559702e-197,up
AT1G80840,5022.21160407651,7.04189118536513,0.238843329471222,29.4833069064782,4.71286967850316e-191,1.52131433222082e-187,up
AT5G09530,6332.89409438308,-9.05500099513679,0.314259578449354,-28.8137629402316,1.4422063893940501e-182,4.07351194684349e-179,down
AT1G16030,3368.53367487334,6.4761564571028,0.231342026203586,27.9938607065006,1.92990111328235e-172,4.84533839508089e-169,up
AT1G15520,2941.71348336909,7.26096979703753,0.262445735909004,27.6665565622109,1.76438418300168e-168,3.9868024999106e-165,up
AT4G29780,4389.68302710375,5.96337807781413,0.217188209122896,27.4571907098315,5.701464579245201e-166,1.17118448756931e-162,up
AT5G64750,5544.92076838982,10.5776589279377,0.3904083312057,27.0938350502681,1.16392264657137e-161,2.19166634349389e-158,up
AT2G30130,4815.46855001723,6.41539133777961,0.238686723715993,26.8778725431462,3.98500818490001e-159,6.9265573035385e-156,up
AT1G47510,2984.70067772247,7.75699022351671,0.289156226951648,26.8262949246942,1.5949403173493899e-158,2.57423367220192e-155,up
AT4G21990,30011.1588360516,5.3786989582107,0.20274734544376,26.5290721633774,4.4790280928777206e-155,6.747207919111e-152,up
AT5G13220,1883.33838646478,7.45333472186892,0.282260326219769,26.4058885699215,1.17261488331875e-153,1.65602536896691e-150,up
AT5G20230,4138.60038962165,9.4628308710283,0.360256447930343,26.2669299200384,4.5794741513439306e-152,6.08692928963338e-149,up
AT1G32450,5572.47816393848,-5.70511430411706,0.217794294302812,-26.1949667799144,3.0325262706378302e-151,3.80683131174069e-148,down
AT1G76650,2288.42031885934,7.57775753196029,0.292980736441683,25.8643541687889,1.67775065104326e-147,1.99528703741966e-144,up
AT2G29450,14877.1976496662,6.19991165736305,0.240366250238378,25.7936031003288,1.04605694429928e-146,1.18183513566932e-143,up
AT2G38240,3726.10468465248,8.69288736428393,0.3379590278969,25.7217196367834,6.68161769677116e-146,7.18942064172577e-143,up
AT5G35735,5669.80441257058,5.97555249857403,0.233829143414947,25.5552084368285,4.80547719849e-144,4.93566194441273e-141,up
AT1G66500,1878.60105662036,6.01928025077876,0.237382775433179,25.356853460807,7.55103626891207e-142,7.41840067531901e-139,up
AT3G44870,2658.66804722739,9.25869192388039,0.365977223828533,25.2985467975959,3.31404124983615e-141,3.1201698367207397e-138,up
AT2G18193,5628.09596009084,5.53426208313356,0.221431739987233,24.9930840242354,7.269105784084519e-138,6.57010857188695e-135,up
AT5G12030,2030.45251509015,8.48804678791677,0.339767572823776,24.9819213686975,9.611934259441519e-138,8.3535102510131e-135,up
AT2G25460,3541.49515182873,5.34926085170002,0.214449945376909,24.944099856488,2.47457700523118e-137,2.07094600037791e-134,up
AT3G22830,1836.47688305014,8.19711345916923,0.333049342479441,24.6123093897873,9.32625568832658e-134,7.52628834047955e-131,up
AT1G09070,14394.4203350183,4.87287180357601,0.198622371026166,24.5333482749235,6.51266849152632e-133,5.07449162877685e-130,up
AT4G38080,3041.98216638069,-7.38797635774976,0.303009823439942,-24.38196977866,2.65677145014772e-131,2.00108025625126e-128,down
AT5G57560,1631.1618364269,6.47988199957515,0.276659225177782,23.4218902167863,2.5575468395435503e-121,1.86420414149439e-118,up
AT1G61340,1912.4789174398,6.59143350002035,0.282067141366554,23.3683138989047,8.97778984080423e-121,6.33944185133789e-118,up
AT2G40340,2412.31082171177,9.24293799732424,0.396538428635997,23.3090599292428,3.5880472826221206e-120,2.4568338302463402e-117,up
AT3G41762,2105.82580735539,7.69033816043189,0.331469230556503,23.2007602863186,4.47345704483941e-119,2.97300692309386e-116,up
AT3G19240,8464.27470717252,4.76318936232908,0.205745471709193,23.1508830923945,1.42427874299951e-118,9.19514356480482e-116,up
AT1G65970,2063.17809450816,-5.80490518708004,0.251326516163369,-23.0970662216425,4.9552330075458e-118,3.11023458440291e-115,down
AT1G53540,1468.95016125659,8.29059865011896,0.359497579232041,23.0616258051844,1.1244911371098502e-117,6.86729776598219e-115,up
AT5G52310,5875.37146704527,5.48327847317807,0.239384703188911,22.9057178680751,4.0748762787240795e-116,2.4230501156328702e-113,up
AT3G12510,1782.72793540059,6.70187119301896,0.293378320774487,22.8437846918161,1.68481966822625e-115,9.761585954677001e-113,up
AT2G34930,3061.09691816896,5.89929995104519,0.258388414105854,22.8311318503175,2.25053780129666e-115,1.27132880395249e-112,up
AT4G04610,15628.0777143276,5.39953833735273,0.236669832313461,22.8146455531402,3.28101802191086e-115,1.8082410542219001e-112,up
AT1G74950,4647.47471812945,5.18449928977338,0.227263188151908,22.8127543749318,3.42595786104082e-115,1.8431653292399602e-112,up
AT1G52070,40899.1062060745,4.25308652362074,0.188095449358783,22.6113206785145,3.3535370099513004e-113,1.7622447041130102e-110,up
